timestart,valor
2006-01-01T04:00:00,0.7
2006-01-02T04:00:00,0.75
2006-01-03T04:00:00,0.8
2006-01-04T04:00:00,1.1
2006-01-05T04:00:00,0.5
2006-01-06T04:00:00,1.05
2006-01-07T04:00:00,1.3
2006-01-08T04:00:00,1.5
2006-01-09T04:00:00,1.75
2006-01-10T04:00:00,1.6
2006-01-11T04:00:00,2.2
2006-01-12T04:00:00,0.6
2006-01-13T04:00:00,1.2
2006-01-14T04:00:00,0.95
2006-01-15T04:00:00,0.55
2006-01-16T04:00:00,0.95
2006-01-17T04:00:00,2.3
2006-01-18T04:00:00,1.3
2006-01-19T04:00:00,1.2
2006-01-20T04:00:00,0.65
2006-01-21T04:00:00,1.4
2006-01-22T04:00:00,2
2006-01-23T04:00:00,1.35
2006-01-24T04:00:00,1.1
2006-01-25T04:00:00,1.35
2006-01-26T04:00:00,2.05
2006-01-27T04:00:00,1.1
2006-01-28T04:00:00,1.2
2006-01-29T04:00:00,1.15
2006-01-30T04:00:00,1.45
2006-01-31T04:00:00,1.35
2006-02-01T04:00:00,0.7
2006-02-02T04:00:00,1.4
2006-02-03T04:00:00,0.9
2006-02-04T04:00:00,1.5
2006-02-05T04:00:00,1
2006-02-06T04:00:00,1.75
2006-02-07T04:00:00,2.7
2006-02-08T04:00:00,1.3
2006-02-09T04:00:00,1.2
2006-02-10T04:00:00,1.1
2006-02-11T04:00:00,0.85
2006-02-12T04:00:00,1.05
2006-02-13T04:00:00,0.55
2006-02-14T04:00:00,0.95
2006-02-15T04:00:00,1.05
2006-02-16T04:00:00,1.2
2006-02-17T04:00:00,1
2006-02-18T04:00:00,1.7
2006-02-19T04:00:00,1
2006-02-20T04:00:00,1.25
2006-02-21T04:00:00,1.25
2006-02-22T04:00:00,1.45
2006-02-23T04:00:00,1.5
2006-02-24T04:00:00,1.7
2006-02-25T04:00:00,2.1
2006-02-26T04:00:00,0.9
2006-02-27T04:00:00,0.75
2006-02-28T04:00:00,1
2006-03-01T04:00:00,0.75
2006-03-02T04:00:00,0.9
2006-03-03T04:00:00,1.3
2006-03-04T04:00:00,1.6
2006-03-05T04:00:00,1.3
2006-03-06T04:00:00,1.15
2006-03-07T04:00:00,1.25
2006-03-08T04:00:00,1
2006-03-09T04:00:00,1.1
2006-03-10T04:00:00,2.4
2006-03-11T04:00:00,1.1
2006-03-12T04:00:00,0.8
2006-03-13T04:00:00,1
2006-03-14T04:00:00,0.6
2006-03-15T04:00:00,1.5
2006-03-16T04:00:00,1.1
2006-03-17T04:00:00,1.05
2006-03-18T04:00:00,0.8
2006-03-19T04:00:00,1
2006-03-20T04:00:00,0.9
2006-03-21T04:00:00,2.3
2006-03-22T04:00:00,0.9
2006-03-23T04:00:00,1.15
2006-03-24T04:00:00,0.9
2006-03-25T04:00:00,2.2
2006-03-26T04:00:00,1.7
2006-03-27T04:00:00,0.55
2006-03-28T04:00:00,0.9
2006-03-29T04:00:00,1.2
2006-03-30T04:00:00,0.8
2006-03-31T04:00:00,0.9
2006-04-01T04:00:00,1.05
2006-04-02T04:00:00,1.15
2006-04-03T04:00:00,1.1
2006-04-04T04:00:00,0.09
2006-04-05T04:00:00,0.9
2006-04-06T04:00:00,1
2006-04-07T04:00:00,1.05
2006-04-08T04:00:00,0.95
2006-04-09T04:00:00,1.45
2006-04-10T04:00:00,1
2006-04-11T04:00:00,1.1
2006-04-12T04:00:00,1.35
2006-04-13T04:00:00,1
2006-04-14T04:00:00,1.05
2006-04-15T04:00:00,2
2006-04-16T04:00:00,0.95
2006-04-17T04:00:00,1.15
2006-04-18T04:00:00,0.8
2006-04-19T04:00:00,0.55
2006-04-20T04:00:00,0.45
2006-04-21T04:00:00,0.9
2006-04-22T04:00:00,1.26
2006-04-23T04:00:00,0.7
2006-04-24T04:00:00,1.3
2006-04-25T04:00:00,1.1
2006-04-26T04:00:00,1.7
2006-04-27T04:00:00,0.7
2006-04-28T04:00:00,1.95
2006-04-29T04:00:00,0.5
2006-04-30T04:00:00,1.5
2006-05-01T04:00:00,2.2
2006-05-02T04:00:00,1.5
2006-05-03T04:00:00,1.15
2006-05-04T04:00:00,0.8
2006-05-05T04:00:00,0.9
2006-05-06T04:00:00,0.9
2006-05-07T04:00:00,1.05
2006-05-08T04:00:00,0.95
2006-05-09T04:00:00,0.9
2006-05-10T04:00:00,0.7
2006-05-11T04:00:00,0.95
2006-05-12T04:00:00,1.25
2006-05-13T04:00:00,0.8
2006-05-14T04:00:00,0.6
2006-05-15T04:00:00,0.8
2006-05-16T04:00:00,0.5
2006-05-17T04:00:00,0.5
2006-05-18T04:00:00,0.8
2006-05-19T04:00:00,1.3
2006-05-20T04:00:00,0.95
2006-05-21T04:00:00,0.95
2006-05-22T04:00:00,1.35
2006-05-23T04:00:00,1.25
2006-05-24T04:00:00,0.8
2006-05-25T04:00:00,0.45
2006-05-26T04:00:00,0.3
2006-05-27T04:00:00,0.5
2006-05-28T04:00:00,1.45
2006-05-29T04:00:00,1.4
2006-05-30T04:00:00,0.75
2006-05-31T04:00:00,0.85
2006-06-01T04:00:00,0.8
2006-06-02T04:00:00,0.6
2006-06-03T04:00:00,0.55
2006-06-04T04:00:00,0.65
2006-06-05T04:00:00,0.85
2006-06-06T04:00:00,1.75
2006-06-07T04:00:00,1.25
2006-06-08T04:00:00,0.75
