timestart,valor
1974-01-01T07:00:00,2.08
1974-01-02T07:00:00,2.1
1974-01-03T07:00:00,2.12
1974-01-04T07:00:00,2.18
1974-01-05T07:00:00,2.18
1974-01-06T07:00:00,2.19
1974-01-07T07:00:00,2.28
1974-01-08T07:00:00,2.3
1974-01-09T07:00:00,2.32
1974-01-10T07:00:00,2.39
1974-01-11T07:00:00,2.42
1974-01-12T07:00:00,2.5
1974-01-13T07:00:00,2.48
1974-01-14T07:00:00,2.46
1974-01-15T07:00:00,2.5
1974-01-16T07:00:00,2.6
1974-01-17T07:00:00,2.64
1974-01-18T07:00:00,2.6
1974-01-19T07:00:00,2.7
1974-01-20T07:00:00,2.73
1974-01-21T07:00:00,2.74
1974-01-22T07:00:00,2.75
1974-01-23T07:00:00,2.86
1974-01-24T07:00:00,3
1974-01-25T07:00:00,3.05
1974-01-26T07:00:00,3.05
1974-01-27T07:00:00,3.07
1974-01-28T07:00:00,3.13
1974-01-29T07:00:00,3.11
1974-01-30T07:00:00,3.11
1974-01-31T07:00:00,3.1
1974-02-01T07:00:00,3.1
1974-02-02T07:00:00,3.1
1974-02-03T07:00:00,3.1
1974-02-04T07:00:00,3.1
1974-02-05T07:00:00,3.19
1974-02-06T07:00:00,3.2
1974-02-07T07:00:00,3.3
1974-02-08T07:00:00,3.35
1974-02-09T07:00:00,3.4
1974-02-10T07:00:00,3.31
1974-02-11T07:00:00,3.49
1974-02-12T07:00:00,3.49
1974-02-13T07:00:00,3.49
1974-02-14T07:00:00,3.49
1974-02-15T07:00:00,3.54
1974-02-16T07:00:00,3.57
1974-02-17T07:00:00,3.6
1974-02-18T07:00:00,3.59
1974-02-19T07:00:00,3.58
1974-02-20T07:00:00,3.59
1974-02-21T07:00:00,3.61
1974-02-22T07:00:00,3.58
1974-02-23T07:00:00,3.62
1974-02-24T07:00:00,3.62
1974-02-25T07:00:00,3.66
1974-02-26T07:00:00,3.7
1974-02-27T07:00:00,3.72
1974-02-28T07:00:00,3.72
1974-03-01T07:00:00,3.72
1974-03-02T07:00:00,3.7
1974-03-03T07:00:00,3.71
1974-03-04T07:00:00,3.7
1974-03-05T07:00:00,3.74
1974-03-06T07:00:00,3.74
1974-03-07T07:00:00,3.75
1974-03-08T07:00:00,3.77
1974-03-09T07:00:00,3.77
1974-03-10T07:00:00,3.77
1974-03-11T07:00:00,3.79
1974-03-12T07:00:00,3.78
1974-03-13T07:00:00,3.78
1974-03-14T07:00:00,3.8
1974-03-15T07:00:00,3.81
1974-03-16T07:00:00,3.78
1974-03-17T07:00:00,3.77
1974-03-18T07:00:00,3.77
1974-03-19T07:00:00,3.77
1974-03-20T07:00:00,3.74
1974-03-21T07:00:00,3.72
1974-03-22T07:00:00,3.71
1974-03-23T07:00:00,3.7
1974-03-24T07:00:00,3.69
1974-03-25T07:00:00,3.69
1974-03-26T07:00:00,3.66
1974-03-27T07:00:00,3.6
1974-03-28T07:00:00,3.6
1974-03-29T07:00:00,3.66
1974-03-30T07:00:00,3.66
1974-03-31T07:00:00,3.65
1974-04-01T07:00:00,3.62
1974-04-02T07:00:00,3.6
1974-04-03T07:00:00,3.55
1974-04-04T07:00:00,3.54
1974-04-05T07:00:00,3.54
1974-04-06T07:00:00,3.54
1974-04-07T07:00:00,3.54
1974-04-08T07:00:00,3.56
1974-04-09T07:00:00,3.55
1974-04-10T07:00:00,3.55
1974-04-11T07:00:00,3.58
1974-04-12T07:00:00,3.58
1974-04-13T07:00:00,3.58
1974-04-14T07:00:00,3.63
1974-04-15T07:00:00,3.6
1974-04-16T07:00:00,3.58
1974-04-17T07:00:00,3.6
1974-04-18T07:00:00,3.61
1974-04-19T07:00:00,3.61
1974-04-20T07:00:00,3.64
1974-04-21T07:00:00,3.66
1974-04-22T07:00:00,3.7
1974-04-23T07:00:00,3.72
1974-04-24T07:00:00,3.72
1974-04-25T07:00:00,3.74
1974-04-26T07:00:00,3.76
1974-04-27T07:00:00,3.77
1974-04-28T07:00:00,3.77
1974-04-29T07:00:00,3.77
1974-04-30T07:00:00,3.77
1974-05-01T07:00:00,3.77
1974-05-02T07:00:00,3.83
1974-05-03T07:00:00,3.83
1974-05-04T07:00:00,3.84
1974-05-05T07:00:00,3.86
1974-05-06T07:00:00,3.87
1974-05-07T07:00:00,3.89
1974-05-08T07:00:00,3.87
1974-05-09T07:00:00,3.87
1974-05-10T07:00:00,3.87
1974-05-11T07:00:00,3.87
1974-05-12T07:00:00,3.86
1974-05-13T07:00:00,3.84
1974-05-14T07:00:00,3.84
1974-05-15T07:00:00,3.87
1974-05-16T07:00:00,3.87
1974-05-17T07:00:00,3.86
1974-05-18T07:00:00,3.84
1974-05-19T07:00:00,3.83
